Matrix_Size,N_Threads,Thread,Time
200,14,13,782
200,14,0,773
200,14,1,769
200,14,2,776
200,14,3,777
200,14,4,776
200,14,5,780
200,14,6,774
200,14,7,779
200,14,8,773
200,14,9,769
200,14,10,775
200,14,11,771
200,14,12,785
200,14,13,782
200,14,0,768
200,14,1,778
200,14,2,774
200,14,3,778
200,14,4,777
200,14,5,776
200,14,6,769
200,14,7,770
200,14,8,776
200,14,9,772
200,14,10,784
200,14,11,775
200,14,12,772
200,14,13,781
200,14,0,766
200,14,1,771
200,14,2,767
200,14,3,764
200,14,4,774
200,14,5,770
200,14,6,766
200,14,7,768
200,14,8,765
200,14,9,771
200,14,10,769
200,14,11,763
200,14,12,768
200,14,13,778
200,14,0,786
200,14,1,789
200,14,2,779
200,14,3,781
200,14,4,783
200,14,5,781
200,14,6,784
200,14,7,791
200,14,8,782
200,14,9,780
200,14,10,786
200,14,11,784
200,14,12,793
200,14,13,779
200,14,0,784
200,14,1,775
200,14,2,773
200,14,3,771
200,14,4,779
200,14,5,782
200,14,6,778
200,14,7,774
200,14,8,771
200,14,9,778
200,14,10,773
200,14,11,778
200,14,12,776
200,14,13,772
200,14,0,763
200,14,1,760
200,14,2,759
200,14,3,757
200,14,4,762
200,14,5,762
200,14,6,756
200,14,7,763
200,14,8,767
200,14,9,761
200,14,10,764
200,14,11,758
200,14,12,769
200,14,13,765
200,14,0,784
200,14,1,786
200,14,2,789
200,14,3,792
200,14,4,788
200,14,5,787
200,14,6,790
200,14,7,794
200,14,8,789
200,14,9,784
200,14,10,796
200,14,11,783
200,14,12,785
200,14,13,799
200,14,0,794
200,14,1,792
200,14,2,787
200,14,3,788
200,14,4,789
200,14,5,786
200,14,6,792
200,14,7,790
200,14,8,793
200,14,9,790
200,14,10,788
200,14,11,801
200,14,12,791
200,14,13,788
200,14,0,789
200,14,1,788
200,14,2,793
200,14,3,791
200,14,4,795
200,14,5,788
200,14,6,787
200,14,7,797
200,14,8,790
200,14,9,794
200,14,10,792
200,14,11,791
200,14,12,800
200,14,13,796
200,14,0,780
200,14,1,787
200,14,2,786
200,14,3,784
200,14,4,781
200,14,5,785
200,14,6,781
200,14,7,785
200,14,8,789
200,14,9,783
200,14,10,782
200,14,11,779
200,14,12,788
200,14,13,795
200,14,0,763
200,14,1,754
200,14,2,749
200,14,3,751
200,14,4,753
200,14,5,752
200,14,6,749
200,14,7,751
200,14,8,759
200,14,9,748
200,14,10,750
200,14,11,757
200,14,12,753
200,14,13,755
200,14,0,779
200,14,1,769
200,14,2,771
200,14,3,770
200,14,4,765
200,14,5,767
200,14,6,771
200,14,7,765
200,14,8,765
200,14,9,769
200,14,10,772
200,14,11,768
200,14,12,767
200,14,13,774
200,14,0,780
200,14,1,773
200,14,2,765
200,14,3,772
200,14,4,764
200,14,5,767
200,14,6,774
200,14,7,771
200,14,8,770
200,14,9,769
200,14,10,764
200,14,11,767
200,14,12,768
200,14,13,770
200,14,0,776
200,14,1,781
200,14,2,775
200,14,3,780
200,14,4,782
200,14,5,783
200,14,6,774
200,14,7,774
200,14,8,784
200,14,9,773
200,14,10,779
200,14,11,797
200,14,12,778
200,14,13,777
200,14,0,783
200,14,1,781
200,14,2,782
200,14,3,792
200,14,4,790
200,14,5,781
200,14,6,785
200,14,7,779
200,14,8,787
200,14,9,786
200,14,10,782
200,14,11,780
200,14,12,791
200,14,13,783
200,14,0,765
200,14,1,772
200,14,2,764
200,14,3,778
200,14,4,766
200,14,5,767
200,14,6,764
200,14,7,770
200,14,8,769
200,14,9,769
200,14,10,773
200,14,11,770
200,14,12,767
200,14,13,764
200,14,0,775
200,14,1,765
200,14,2,767
200,14,3,764
200,14,4,767
200,14,5,772
200,14,6,763
200,14,7,769
200,14,8,774
200,14,9,768
200,14,10,770
200,14,11,766
200,14,12,766
200,14,13,771
200,14,0,779
200,14,1,782
200,14,2,788
200,14,3,781
200,14,4,785
200,14,5,784
200,14,6,784
200,14,7,779
200,14,8,785
200,14,9,779
200,14,10,777
200,14,11,781
200,14,12,791
200,14,13,783
200,14,0,781
200,14,1,772
200,14,2,774
200,14,3,775
200,14,4,777
200,14,5,780
200,14,6,776
200,14,7,773
200,14,8,783
200,14,9,781
200,14,10,773
200,14,11,777
200,14,12,779
200,14,13,787
200,14,0,779
200,14,1,782
200,14,2,785
200,14,3,783
200,14,4,786
200,14,5,781
200,14,6,780
200,14,7,784
200,14,8,779
200,14,9,787
200,14,10,789
200,14,11,783
200,14,12,785
200,14,13,792
200,14,0,785
200,14,1,789
200,14,2,797
200,14,3,784
200,14,4,788
200,14,5,790
200,14,6,791
200,14,7,789
200,14,8,787
200,14,9,798
200,14,10,792
200,14,11,793
200,14,12,786
200,14,13,787
200,14,0,768
200,14,1,762
200,14,2,770
200,14,3,761
200,14,4,759
200,14,5,762
200,14,6,765
200,14,7,773
200,14,8,761
200,14,9,760
200,14,10,764
200,14,11,763
200,14,12,766
200,14,13,759
200,14,0,774
200,14,1,776
200,14,2,769
200,14,3,777
200,14,4,777
200,14,5,780
200,14,6,778
200,14,7,773
200,14,8,774
200,14,9,782
200,14,10,772
200,14,11,771
200,14,12,784
200,14,13,774
200,14,0,779
200,14,1,783
200,14,2,781
200,14,3,777
200,14,4,776
200,14,5,781
200,14,6,778
